bath,bed,price,size,street,where
1.0,1.0,2750,750.0,564 Morgan Avenue #1R,Greenpoint
1.0,2.0,2599,850.0,41-49 45th Street #2A,Sunnyside
1.0,1.0,3610,683.0,175 Kent Avenue #515,Williamsburg
1.0,1.0,3750,666.0,305 West 50th Street #8E,Midtown West
1.0,3.0,3000,1000.0,254 Manhattan Avenue #3A,Central Harlem
3.5,2.0,35000,2241.0,15 Central Park West #10G,Lincoln Square
1.0,2.0,3450,1000.0,43 7th Avenue #4,Park Slope
2.0,2.0,4400,1250.0,36 Conselyea Street #33,Williamsburg
2.0,4.0,3150,1000.0,55 Linden Boulevard #2J,Flatbush
1.0,3.0,5500,1000.0,520 East 12th Street #1B,East Village
1.0,1.0,1650,600.0,700 West 176th Street #3B,Hudson Heights
1.0,1.0,3600,670.0,555 West 23rd Street #N7L,West Chelsea
1.0,1.0,3200,715.0,310 West 52nd Street #3JJ,Midtown West
2.0,2.0,4350,1250.0,36 Conselyea Street #7,Williamsburg
1.0,2.0,3950,900.0,314 East 41st Street #B401,Murray Hill
1.0,2.0,6000,1400.0,180 Duane Street #4,Tribeca
3.5,3.0,29500,2291.0,150 Charles Street #5BN,West Village
1.0,1.0,1925,707.0,620 Lenox Avenue #10H,Central Harlem
1.0,1.0,1850,707.0,620 Lenox Avenue #1H,Central Harlem
1.0,1.0,1835,596.0,45 West 139th Street #3C,Central Harlem
2.0,2.0,4199,1506.0,95 Dupont Street #PH4,Greenpoint
1.0,1.0,2999,733.0,540 East 20th Street #9G,Stuyvesant Town/PCV
1.0,2.0,4817,932.0,4 Stuyvesant Oval #11G,Stuyvesant Town/PCV
1.0,1.0,4217,944.0,431 East 20th Street #9E,Stuyvesant Town/PCV
1.0,1.0,3625,643.0,520 West 43rd Street #28J,Midtown West
1.0,1.0,2995,599.0,335 Carroll Street #2G,Carroll Gardens
2.0,2.0,4425,850.0,520 West 43rd Street #6Q,Midtown West
1.0,1.0,3495,750.0,408 East 92nd Street #5H,Yorkville
1.0,1.0,2400,802.0,97-45 Queens Boulevard #206,Rego Park
1.0,1.0,1695,777.0,1201 Ocean Parkway #2G,Ocean Parkway
1.0,1.0,1650,753.0,1640 Ocean Parkway #2B6,Ocean Parkway
1.0,1.0,1595,730.0,3232 Shore Parkway #5E,Brighton Beach
1.0,1.0,2600,770.0,266 Washington Avenue #A4,Clinton Hill
1.0,1.0,2895,800.0,205 W 88th Street #9D,Upper West Side
2.0,2.0,6500,1370.0,75 Wall Street #33O,Financial District
1.0,2.0,2900,900.0,1633 Dekalb Avenue #2B,Bushwick
1.5,1.0,2500,1100.0,1633 Dekalb Avenue #1F,Bushwick
1.0,2.0,2800,900.0,1633 Dekalb Avenue #2F,Bushwick
1.0,2.0,2800,900.0,1633 Dekalb Avenue #3F,Bushwick
1.0,2.0,3000,900.0,1633 Dekalb Avenue #3B,Bushwick
4.0,5.0,55000,5737.0,50 East 73rd Street ,Upper East Side
2.0,2.0,3400,1500.0,1633 Dekalb Avenue #4F,Bushwick
2.0,2.0,3600,1500.0,1633 Dekalb Avenue #4B,Bushwick
1.5,2.0,3600,1400.0,1633 Dekalb Avenue #1B,Bushwick
1.5,1.0,4950,1148.0,534 West 42nd Street #3,Midtown West
1.0,1.0,1650,550.0,1018 Manhattan Avenue #6,Greenpoint
1.0,1.0,1000,800.0,151 Trenton Ct #2,Princes Bay
2.0,2.0,6753,1060.0,55 West 26th Street #37D,Chelsea
1.0,1.0,3400,650.0,401 East 80th Street #5J,Yorkville
1.5,1.0,4650,985.0,265 East 66th Street #15G,Lenox Hill
2.0,2.0,7300,1221.0,325 Fifth Avenue #32F,Midtown South
1.0,1.0,3900,708.0,350 West 43rd Street #36C,Midtown West
2.0,2.0,9550,1700.0,275 Central Park West #14E,Upper West Side
4.0,4.0,14950,2700.0,275 Central Park West #5B,Upper West Side
4.0,4.0,14950,2700.0,275 Central Park West #5C,Upper West Side
1.0,1.0,3995,950.0,155 Riverside Drive #5C,Upper West Side
1.0,1.0,3000,900.0,425 Riverside Drive #1D,Morningside Heights
1.5,1.0,8850,1500.0,115 Wooster Street #6F,Soho
1.0,1.0,1275,1100.0,1404 Noble Avenue #4D,Soundview
1.5,2.0,2650,1020.0,501 Surf Avenue #18P,Brighton Beach
1.0,2.0,3500,1300.0,36 South 4th Street #D3,Williamsburg
7.0,6.0,85000,7700.0,48 East 81st Street TOWNHOUSE,Upper East Side
1.0,1.0,2500,900.0,153 Guernsey Street #2,Greenpoint
2.5,2.0,5500,1400.0,418 East 59th Street #6A,Sutton Place
1.0,1.0,2900,507.0,189 Schermerhorn Street #23H,Downtown Brooklyn
1.5,2.0,3800,850.0,4 West 83rd Street #1,Upper West Side
2.5,3.0,2400,1900.0,318 Willcox Street ,Mariners Harbor
1.0,1.0,3595,720.0,260 West 54th Street #39A,Midtown
1.0,2.0,1895,949.0,2750 Homecrest Avenue #223,Brighton Beach
2.0,2.0,3942,850.0,792 Columbus Avenue #2T,Upper West Side
3.5,3.0,19950,3062.0,423 West Street #6DPLX,West Village
1.0,3.0,6800,1350.0,438 Broome Street #3N,Soho
2.0,2.0,4110,1000.0,4720 Center Boulevard #1208,Hunters Point
1.0,1.0,4350,767.0,11 East 29th Street #22B,NoMad
1.0,3.0,2950,1200.0,35-17 Broadway #2,Astoria
1.0,1.0,2600,900.0,173 Union Street #2,Carroll Gardens
2.0,2.0,4000,1139.0,245 16th Street #4,Park Slope
3.5,3.0,14500,2110.0,2 Columbus Avenue #32A,Lincoln Square
1.0,1.0,3364,746.0,260 West 54th Street #21D,Midtown
1.0,2.0,2000,900.0,583 Decatur Street #2,Stuyvesant Heights
1.0,1.0,3250,1000.0,25 Dean Street #4,Cobble Hill
2.5,2.0,8900,1266.0,18 West 48th Street #25B,Midtown
1.0,1.0,2900,750.0,200 West 54th Street #9C,Midtown
2.0,2.0,4950,1100.0,9 East 75th Street #1BC,Upper East Side
1.0,2.0,2100,1000.0,724 Chauncey Street #2,Bushwick
1.0,3.0,2200,1700.0,465 Quincy Street #2,Stuyvesant Heights
2.0,2.0,12500,1865.0,260 West Broadway #6D,Tribeca
1.0,3.0,3600,1000.0,612 Metropolitan Avenue #3A,Williamsburg
1.0,1.0,3800,700.0,340 East 23rd Street #11C,Gramercy Park
1.0,2.0,3895,800.0,315 West 33rd Street #20G,Midtown West
2.0,2.0,4795,1200.0,888 Eighth Avenue #5,Midtown
2.5,2.0,22000,1762.0,151 East 58th Street #41B,Midtown East
